timestamp,battery_mv,die_temp_c,tank_top_c,tank_temp_start_c,tank_temp_bottom_c,tank_temp_end_c
2026-03-14T00:02:20.738020,12987,23.284,75.0,69.562,21.312,69.562
2026-03-14T00:07:26.936475,12915,23.284,74.937,69.437,21.187,69.437
2026-03-14T00:12:33.138673,12998,22.645,74.875,69.375,21.187,69.375
2026-03-14T00:17:39.348313,12959,22.965,74.812,69.25,21.187,69.25
2026-03-14T00:22:45.584012,12948,22.965,74.75,69.312,21.25,69.312
2026-03-14T00:27:51.839327,12987,22.965,74.687,69.187,21.312,69.187
2026-03-14T00:32:58.110183,12987,22.965,74.562,69.312,21.375,69.312
2026-03-14T00:38:04.397659,12948,22.965,74.5,69.062,21.375,69.062
2026-03-14T00:43:10.686683,12965,23.604,74.437,69.0,21.5,69.0
2026-03-14T00:48:16.978473,12943,23.284,74.375,68.875,21.5,68.875
2026-03-14T00:53:23.267579,12987,22.965,74.375,68.875,21.562,68.875
2026-03-14T00:58:29.545841,12882,23.284,74.25,68.437,21.562,68.437
2026-03-14T01:03:35.811104,12937,23.284,74.25,68.437,21.5,68.437
2026-03-14T01:08:42.049981,12987,22.325,74.125,68.562,21.375,68.562
2026-03-14T01:13:48.266038,12915,22.645,74.062,68.75,21.375,68.75
2026-03-14T01:18:54.454796,12948,22.645,74.062,68.812,21.5,68.812
2026-03-14T01:24:00.634026,12932,22.965,73.937,68.25,21.375,68.25
2026-03-14T01:29:06.826074,12937,22.965,73.875,68.375,21.437,68.375
2026-03-14T01:34:12.996220,12965,22.965,73.875,68.312,21.375,68.312
2026-03-14T01:39:19.171890,12965,22.645,73.75,68.375,21.312,68.375
2026-03-14T01:44:25.334586,12987,22.645,73.75,68.312,21.312,68.312
2026-03-14T01:49:31.523259,12937,23.284,73.625,67.75,21.312,67.75
2026-03-14T01:54:37.749674,12965,22.645,73.562,67.812,21.437,67.812
2026-03-14T01:59:43.980373,12965,22.965,73.5,67.875,21.5,67.875
2026-03-14T02:04:50.185852,12932,22.965,73.5,68.125,21.437,68.125
2026-03-14T02:09:56.440339,12965,22.645,73.375,68.187,21.437,68.187
2026-03-14T02:15:02.691845,12959,22.325,73.312,68.062,21.375,68.062
2026-03-14T02:20:08.950297,12970,22.325,73.25,68.187,21.375,68.187
2026-03-14T02:25:15.005629,12920,22.325,73.125,68.0,21.312,68.0
2026-03-14T02:30:21.182240,12976,22.965,73.062,67.625,21.312,67.625
2026-03-14T02:35:27.371848,12920,22.645,73.0,67.687,21.375,67.687
2026-03-14T02:40:33.607421,12926,23.284,72.937,67.812,21.312,67.812
2026-03-14T02:45:39.860178,12965,23.284,72.937,67.812,21.312,67.812
2026-03-14T02:50:46.056727,12920,22.645,72.875,67.437,21.312,67.437
2026-03-14T02:55:52.260751,12926,22.965,72.812,67.312,21.312,67.312
2026-03-14T03:00:58.477145,12976,22.325,72.75,67.375,21.312,67.375
2026-03-14T03:06:04.719202,12959,23.284,72.687,67.687,21.437,67.687
2026-03-14T03:11:10.983846,12948,22.965,72.625,67.75,21.437,67.75
2026-03-14T03:16:17.234430,12932,23.284,72.625,67.312,21.562,67.312
2026-03-14T03:21:23.473302,12948,22.965,72.5,67.437,21.625,67.437
2026-03-14T03:26:29.751054,12965,22.645,72.437,67.5,21.75,67.5
2026-03-14T03:31:36.020747,12920,23.284,72.375,67.187,21.687,67.187
2026-03-14T03:36:42.282269,12943,23.604,72.312,67.25,21.687,67.25
2026-03-14T03:41:48.521946,12976,22.645,72.312,67.0,21.687,67.0
2026-03-14T03:46:54.756912,12909,22.965,72.187,66.687,21.687,66.687
2026-03-14T03:52:00.958314,12932,23.284,72.125,66.75,21.625,66.75
2026-03-14T03:57:07.172413,12920,22.965,72.125,66.375,21.5,66.375
2026-03-14T04:02:13.390805,12965,22.645,72.062,66.125,21.312,66.125
2026-03-14T04:07:19.603448,12915,22.965,72.0,65.875,21.25,65.875
2026-03-14T04:12:25.817171,12965,22.645,71.937,66.312,21.187,66.312
2026-03-14T04:17:32.069718,12959,23.284,71.875,66.125,21.25,66.125
2026-03-14T04:22:38.323948,12965,22.325,71.75,66.312,21.375,66.312
2026-03-14T04:27:44.572540,12943,22.965,71.687,66.25,21.187,66.25
2026-03-14T04:32:50.803145,12915,23.284,71.625,66.25,21.062,66.25
2026-03-14T04:37:57.017540,12915,23.284,71.562,66.125,20.937,66.125
2026-03-14T04:43:03.210545,12943,23.284,71.562,65.937,20.937,65.937
2026-03-14T04:48:09.413972,12959,22.645,71.437,65.5,20.812,65.5
2026-03-14T04:53:15.609402,12965,22.005,71.375,65.687,20.75,65.687
2026-03-14T04:58:21.782070,12943,23.284,71.312,66.0,20.812,66.0
2026-03-14T05:03:27.932153,12909,22.325,71.312,66.062,20.75,66.062
2026-03-14T05:08:34.077010,12915,23.284,71.25,65.875,20.625,65.875
2026-03-14T05:13:40.190018,12915,22.005,71.187,66.0,20.562,66.0
2026-03-14T05:18:46.300277,12915,22.325,71.062,66.062,20.562,66.062
2026-03-14T05:23:52.419347,12948,22.005,71.062,66.062,20.562,66.062
2026-03-14T05:28:58.529566,12909,22.325,71.0,66.062,20.687,66.062
2026-03-14T05:34:04.633310,12959,21.686,70.875,66.0,20.75,66.0
2026-03-14T05:39:10.735791,12948,22.325,70.875,65.437,20.75,65.437
2026-03-14T05:44:16.871252,12937,21.686,70.812,65.125,20.625,65.125
2026-03-14T05:49:23.005398,12965,22.965,70.75,64.937,20.5,64.937
2026-03-14T05:54:29.126586,12959,22.325,70.687,65.5,20.5,65.5
2026-03-14T05:59:35.252416,12954,22.005,70.625,65.75,20.562,65.75
2026-03-14T06:04:41.396822,12970,22.005,70.562,65.437,20.5,65.437
2026-03-14T06:09:47.588673,12954,22.645,70.5,65.187,20.5,65.187
2026-03-14T06:14:53.885437,12993,23.284,70.437,65.125,20.562,65.125
2026-03-14T06:20:00.301718,13048,24.244,70.375,65.187,20.625,65.187
2026-03-14T06:25:06.856447,13059,25.523,70.375,65.5,20.875,65.5
2026-03-14T06:30:13.500272,13192,25.843,70.312,65.375,21.125,65.375
2026-03-14T06:35:20.232001,13309,26.482,70.25,65.375,21.25,65.375
2026-03-14T06:40:27.085769,13447,27.761,70.187,65.187,21.437,65.187
2026-03-14T06:45:34.062283,13664,27.761,70.125,65.187,21.625,65.187
2026-03-14T06:50:41.184328,13752,29.04,70.062,65.187,21.937,65.187
2026-03-14T06:55:48.446656,13813,29.36,70.062,65.25,22.187,65.25
2026-03-14T07:00:55.858873,13841,30.639,70.0,65.187,22.5,65.187
2026-03-14T07:06:03.396881,13830,31.598,70.0,65.062,22.812,65.062
2026-03-14T07:11:11.054536,13858,32.238,69.937,65.0,23.125,65.0
2026-03-14T07:16:18.802814,13908,33.837,69.875,64.875,23.5,64.875
2026-03-14T07:21:26.778295,13952,34.476,69.812,64.437,24.0,64.437
2026-03-14T07:26:34.903565,14002,36.075,69.75,64.562,24.5,64.562
2026-03-14T07:31:43.256152,14201,37.354,69.75,64.562,25.062,64.562
2026-03-14T07:36:51.817949,13752,38.953,69.75,64.75,25.625,64.75
2026-03-14T07:42:00.610546,13725,40.552,69.687,64.312,26.062,64.312
2026-03-14T07:47:09.508389,13736,39.912,69.75,64.437,26.312,64.437
2026-03-14T07:52:18.330396,13747,40.232,69.625,63.562,26.25,63.562
2026-03-14T07:57:27.157294,13769,39.912,69.625,63.625,26.25,63.625
2026-03-14T08:02:36.003778,13786,42.151,69.562,63.312,26.062,63.312
2026-03-14T08:07:45.142316,13752,42.47,69.5,62.812,26.062,62.812
2026-03-14T08:12:54.187237,13774,42.151,69.5,63.375,26.062,63.375
2026-03-14T08:18:03.384712,13774,42.151,69.437,63.125,26.062,63.125
2026-03-14T08:23:12.525294,13752,41.511,69.375,62.5,25.875,62.5
2026-03-14T08:28:21.712917,13758,43.43,69.312,62.625,25.812,62.625
2026-03-14T08:33:30.760184,13730,40.552,69.312,62.437,25.75,62.437
2026-03-14T08:38:39.543458,13719,39.912,69.312,62.562,25.5,62.562
2026-03-14T08:43:48.213932,13736,38.953,69.25,62.125,25.25,62.125
2026-03-14T08:48:56.761390,13769,37.994,69.125,62.625,25.187,62.625
2026-03-14T08:54:05.326224,13763,38.953,69.062,62.125,25.125,62.125
2026-03-14T08:59:13.910929,13769,38.633,69.0,62.562,25.187,62.562
