timestamp,edb_drain_state,edb_effluent_state,tank_level,flow_rate
2026-03-21T00:00:20.929852,0,0,349.236576,0
2026-03-21T00:00:52.896675,0,0,349.236576,0
2026-03-21T00:01:12.634344,0,0,350.118602,0
2026-03-21T00:01:23.862328,0,0,349.236576,0
2026-03-21T00:01:36.119022,0,0,348.35455,0
2026-03-21T00:01:46.407665,0,0,349.236576,0
2026-03-21T00:01:56.654443,0,0,349.236576,0
2026-03-21T00:02:26.348523,0,0,349.236576,0
2026-03-21T00:02:36.609278,0,0,348.35455,0
2026-03-21T00:05:08.619033,0,0,349.236576,0
2026-03-21T00:05:19.878004,0,0,349.236576,0
2026-03-21T00:05:32.363434,0,0,348.35455,0
2026-03-21T00:06:28.394312,0,0,348.35455,0
2026-03-21T00:07:00.616807,0,0,348.35455,0
2026-03-21T00:07:10.921293,0,0,349.236576,0
2026-03-21T00:07:23.588096,0,0,349.236576,0
2026-03-21T00:07:33.849906,0,0,348.35455,0
2026-03-21T00:07:45.116372,0,0,349.236576,0
2026-03-21T00:07:57.119270,0,0,349.236576,0
2026-03-21T00:09:28.597933,0,0,348.35455,0
2026-03-21T00:09:38.850140,0,0,348.35455,0
2026-03-21T00:10:07.868305,0,0,345.70847200000003,0
2026-03-21T00:10:20.108560,0,0,349.236576,0
2026-03-21T00:10:31.251833,0,0,349.236576,0
2026-03-21T00:10:43.332590,0,0,349.236576,0
2026-03-21T00:11:15.603743,0,0,349.236576,0
2026-03-21T00:11:25.856478,0,0,349.236576,0
2026-03-21T00:11:45.559334,0,0,348.35455,0
2026-03-21T00:12:15.158497,0,0,349.236576,0
2026-03-21T00:12:48.850787,0,0,348.35455,0
2026-03-21T00:13:18.167021,0,0,349.236576,0
2026-03-21T00:14:19.416727,0,0,347.472524,0
2026-03-21T00:14:47.921262,0,0,349.236576,0
2026-03-21T00:15:15.602442,0,0,349.236576,0
2026-03-21T00:15:25.889313,0,0,349.236576,0
2026-03-21T00:15:35.855036,0,0,349.236576,0
2026-03-21T00:15:48.119672,0,0,349.236576,0
2026-03-21T00:16:07.858488,0,0,349.236576,0
2026-03-21T00:16:20.594006,0,0,348.35455,0
2026-03-21T00:16:30.915793,0,0,348.35455,0
2026-03-21T00:16:41.350436,0,0,348.35455,0
2026-03-21T00:16:54.098566,0,0,349.236576,0
2026-03-21T00:17:06.873136,0,0,348.35455,0
2026-03-21T00:17:36.159360,0,0,348.35455,0
2026-03-21T00:18:29.597250,0,0,348.35455,0
2026-03-21T00:18:39.912906,0,0,348.35455,0
2026-03-21T00:19:18.927121,0,0,349.236576,0
2026-03-21T00:19:51.782582,0,0,349.236576,0
2026-03-21T00:20:02.075986,0,0,348.35455,0
2026-03-21T00:20:12.356888,0,0,349.236576,0
2026-03-21T00:20:22.626831,0,0,349.236576,0
2026-03-21T00:20:52.387058,0,0,349.236576,0
2026-03-21T00:21:19.658356,0,0,349.236576,0
2026-03-21T00:21:29.850978,0,0,351.882654,0
2026-03-21T00:22:17.886187,0,0,348.35455,0
2026-03-21T00:22:50.863345,0,0,351.000628,0
2026-03-21T00:23:02.839064,0,0,349.236576,0
2026-03-21T00:23:13.149783,0,0,349.236576,0
2026-03-21T00:23:23.428574,0,0,349.236576,0
2026-03-21T00:24:01.413811,0,0,349.236576,0
2026-03-21T00:24:35.380907,0,0,349.236576,0
2026-03-21T00:24:45.663736,0,0,349.236576,0
2026-03-21T00:25:03.447149,0,0,349.236576,0
2026-03-21T00:25:38.855772,0,0,349.236576,0
2026-03-21T00:25:51.591185,0,0,349.236576,0
2026-03-21T00:26:11.615952,0,0,349.236576,0
2026-03-21T00:26:24.103662,0,0,349.236576,0
2026-03-21T00:26:56.410004,0,0,349.236576,0
